price,area,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,bathrooms_2,bathrooms_3,bathrooms_4,stories_2,stories_3,stories_4,parking_1,parking_2,parking_3,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6
13300000,7420,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
12250000,8960,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
12250000,9960,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
12215000,7500,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
11410000,7420,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10850000,7500,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
10150000,8580,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
10150000,16200,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
9870000,8100,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9800000,5750,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
9800000,13200,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
9681000,6000,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
9310000,6550,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
9240000,3500,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
9240000,7800,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9100000,6000,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9100000,6600,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8960000,8500,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
8890000,4600,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
8855000,6420,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
8750000,4320,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8680000,7155,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
8645000,8050,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8645000,4560,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
8575000,8800,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
8540000,6540,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
8463000,6000,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8400000,8875,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8400000,7950,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
8400000,5500,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8400000,7475,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
8400000,7000,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8295000,4880,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
8190000,5960,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
8120000,6840,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
