price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnished,semi-furnished,unfurnished,stories_area,rooms_area
13300000,7420,4,2,3,1,0,0,0,1,2,1,1,0,0,2473.3333333333335,1236.6666666666667
12250000,8960,4,4,4,1,0,0,0,1,3,0,1,0,0,2240.0,1120.0
12250000,9960,3,2,2,1,0,1,0,0,2,1,0,1,0,4980.0,1992.0
12215000,7500,4,2,2,1,0,1,0,1,3,1,1,0,0,3750.0,1250.0
11410000,7420,4,1,2,1,1,1,0,1,2,0,1,0,0,3710.0,1484.0
10850000,7500,3,3,1,1,0,1,0,1,2,1,0,1,0,7500.0,1250.0
10150000,8580,4,3,4,1,0,0,0,1,2,1,0,1,0,2145.0,1225.7142857142858
10150000,16200,5,3,2,1,0,0,0,0,0,0,0,0,1,8100.0,2025.0
9870000,8100,4,1,2,1,1,1,0,1,2,1,1,0,0,4050.0,1620.0
9800000,5750,3,2,4,1,1,0,0,1,1,1,0,0,1,1437.5,1150.0
9800000,13200,3,1,2,1,0,1,0,1,2,1,1,0,0,6600.0,3300.0
9681000,6000,4,3,2,1,1,1,1,0,2,0,0,1,0,3000.0,857.1428571428571
9310000,6550,4,2,2,1,0,0,0,1,1,1,0,1,0,3275.0,1091.6666666666667
9240000,3500,4,2,2,1,0,0,1,0,2,0,1,0,0,1750.0,583.3333333333334
9240000,7800,3,2,2,1,0,0,0,0,0,1,0,1,0,3900.0,1560.0
9100000,6000,4,1,2,1,0,1,0,0,2,0,0,1,0,3000.0,1200.0
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,0,1,3300.0,1100.0
8960000,8500,3,2,4,1,0,0,0,1,2,0,1,0,0,2125.0,1700.0
8890000,4600,3,2,2,1,1,0,0,1,2,0,1,0,0,2300.0,920.0
8855000,6420,3,2,2,1,0,0,0,1,1,1,0,1,0,3210.0,1284.0
8750000,4320,3,1,2,1,0,1,1,0,2,0,0,1,0,2160.0,1080.0
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,0,1,7155.0,1431.0
8645000,8050,3,1,1,1,1,1,0,1,1,0,1,0,0,8050.0,2012.5
8645000,4560,3,2,2,1,1,1,0,1,1,0,1,0,0,2280.0,912.0
8575000,8800,3,2,2,1,0,0,0,1,2,0,1,0,0,4400.0,1760.0
8540000,6540,4,2,2,1,1,1,0,1,2,1,1,0,0,3270.0,1090.0
8463000,6000,3,2,4,1,1,1,0,1,0,1,0,1,0,1500.0,1200.0
8400000,8875,3,1,1,1,0,0,0,0,1,0,0,1,0,8875.0,2218.75
8400000,7950,5,2,2,1,0,1,1,0,2,0,0,0,1,3975.0,1135.7142857142858
8400000,5500,4,2,2,1,0,1,0,1,1,1,0,1,0,2750.0,916.6666666666666
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,0,1,1868.75,1495.0
8400000,7000,3,1,4,1,0,0,0,1,2,0,0,1,0,1750.0,1750.0
8295000,4880,4,2,2,1,0,0,0,1,1,1,1,0,0,2440.0,813.3333333333334
8190000,5960,3,3,2,1,1,1,0,0,1,0,0,0,1,2980.0,993.3333333333334
8120000,6840,5,1,2,1,1,1,0,1,1,0,1,0,0,3420.0,1140.0
8080940,7000,3,2,4,1,0,0,0,1,2,0,1,0,0,1750.0,1400.0
8043000,7482,3,2,3,1,0,0,1,0,1,1,1,0,0,2494.0,1496.4
7980000,9000,4,2,4,1,0,0,0,1,2,0,1,0,0,2250.0,1500.0
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,0,1,1500.0,1500.0
7910000,6000,4,2,4,1,0,0,0,1,1,0,0,1,0,1500.0,1000.0
7875000,6550,3,1,2,1,0,1,0,1,0,1,1,0,0,3275.0,1637.5
7840000,6360,3,2,4,1,0,0,0,1,0,1,1,0,0,1590.0,1272.0
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,0,1,1620.0,1296.0
7700000,6000,4,2,4,1,0,0,0,0,2,0,0,1,0,1500.0,1000.0
7560000,6000,4,2,4,1,0,0,0,1,1,0,1,0,0,1500.0,1000.0
7560000,6000,3,2,3,1,0,0,0,1,0,0,0,1,0,2000.0,1200.0
7525000,6000,3,2,4,1,0,0,0,1,1,0,1,0,0,1500.0,1200.0
7490000,6600,3,1,4,1,0,0,0,1,3,1,1,0,0,1650.0,1650.0
7455000,4300,3,2,2,1,0,1,0,0,1,0,0,0,1,2150.0,860.0
7420000,7440,3,2,1,1,1,1,0,1,0,1,0,1,0,7440.0,1488.0
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,0,1,1860.0,1488.0
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,0,1,1581.25,1581.25
7350000,6000,4,2,4,1,1,0,0,1,1,0,1,0,0,1500.0,1000.0
7350000,5150,3,2,4,1,0,0,0,1,2,0,0,1,0,1287.5,1030.0
7350000,6000,3,2,2,1,1,0,0,1,1,0,0,1,0,3000.0,1200.0
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,0,1,3000.0,1500.0
7343000,11440,4,1,2,1,0,1,0,0,1,1,0,1,0,5720.0,2288.0
7245000,9000,4,2,4,1,1,0,0,1,1,1,1,0,0,2250.0,1500.0
7210000,7680,4,2,4,1,1,0,0,1,1,0,0,1,0,1920.0,1280.0
7210000,6000,3,2,4,1,1,0,0,1,1,0,1,0,0,1500.0,1200.0
7140000,6000,3,2,2,1,1,0,0,0,1,0,0,1,0,3000.0,1200.0
7070000,8880,2,1,1,1,0,0,0,1,1,0,0,1,0,8880.0,2960.0
7070000,6240,4,2,2,1,0,0,0,1,1,0,1,0,0,3120.0,1040.0
7035000,6360,4,2,3,1,0,0,0,1,2,1,1,0,0,2120.0,1060.0
7000000,11175,3,1,1,1,0,1,0,1,1,1,1,0,0,11175.0,2793.75
6930000,8880,3,2,2,1,0,1,0,1,1,0,1,0,0,4440.0,1776.0
6930000,13200,2,1,1,1,0,1,1,0,1,0,1,0,0,13200.0,4400.0
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,0,1,7700.0,1540.0
6860000,6000,3,1,1,1,0,0,0,1,1,0,1,0,0,6000.0,1500.0
6790000,12090,4,2,2,1,0,0,0,0,2,1,1,0,0,6045.0,2015.0
6790000,4000,3,2,2,1,0,1,0,1,0,1,0,1,0,2000.0,800.0
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,0,1,1500.0,1000.0
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,0,1,1255.0,1255.0
6685000,6600,2,2,4,1,0,1,0,0,0,1,1,0,0,1650.0,1650.0
6650000,4040,3,1,2,1,0,1,1,0,1,0,1,0,0,2020.0,1010.0
6650000,4260,4,2,2,1,0,0,1,0,0,0,0,1,0,2130.0,710.0
6650000,6420,3,2,3,1,0,0,0,1,0,1,1,0,0,2140.0,1284.0
6650000,6500,3,2,3,1,0,0,0,1,0,1,1,0,0,2166.6666666666665,1300.0
6650000,5700,3,1,1,1,1,1,0,1,2,1,1,0,0,5700.0,1425.0
6650000,6000,3,2,3,1,1,0,0,1,0,0,1,0,0,2000.0,1200.0
6629000,6000,3,1,2,1,0,0,1,0,1,1,0,1,0,3000.0,1500.0
6615000,4000,3,2,2,1,0,1,0,1,1,0,0,1,0,2000.0,800.0
6615000,10500,3,2,1,1,0,1,0,1,1,1,1,0,0,10500.0,2100.0
6580000,6000,3,2,4,1,0,0,0,1,0,0,0,1,0,1500.0,1200.0
6510000,3760,3,1,2,1,0,0,1,0,2,0,0,1,0,1880.0,940.0
6510000,8250,3,2,3,1,0,0,0,1,0,0,1,0,0,2750.0,1650.0
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,0,1,2223.3333333333335,1667.5
6475000,3960,3,1,1,1,0,1,0,0,2,0,0,1,0,3960.0,990.0
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,0,1,7410.0,1852.5
6440000,8580,5,3,2,1,0,0,0,0,2,0,1,0,0,4290.0,1072.5
6440000,5000,3,1,2,1,0,0,0,1,0,0,0,1,0,2500.0,1250.0
6419000,6750,2,1,1,1,1,1,0,0,2,1,1,0,0,6750.0,2250.0
6405000,4800,3,2,4,1,1,0,0,1,0,0,1,0,0,1200.0,960.0
6300000,7200,3,2,1,1,0,1,0,1,3,0,0,1,0,7200.0,1440.0
6300000,6000,4,2,4,1,0,0,0,0,1,0,0,1,0,1500.0,1000.0
6300000,4100,3,2,3,1,0,0,0,1,2,0,0,1,0,1366.6666666666667,820.0
6300000,9000,3,1,1,1,0,1,0,0,1,1,1,0,0,9000.0,2250.0
6300000,6400,3,1,1,1,1,1,0,1,1,1,0,1,0,6400.0,1600.0
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,0,1,2200.0,1320.0
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,0,1,2000.0,1200.0
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,0,1,6600.0,1320.0
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,0,1,1833.3333333333333,1375.0
6195000,5500,3,2,4,1,1,0,0,1,1,0,0,1,0,1375.0,1100.0
6195000,6350,3,2,3,1,1,0,0,1,0,0,1,0,0,2116.6666666666665,1270.0
6195000,5500,3,2,1,1,1,1,0,0,2,1,1,0,0,5500.0,1100.0
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,0,1,1125.0,1125.0
6160000,5450,4,2,1,1,0,1,0,1,0,1,0,1,0,5450.0,908.3333333333334
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,0,1,2140.0,1605.0
6107500,3240,4,1,3,1,0,0,0,0,1,0,0,1,0,1080.0,648.0
6090000,6615,4,2,2,1,1,0,1,0,1,0,0,1,0,3307.5,1102.5
6090000,6600,3,1,1,1,1,1,0,0,2,1,0,1,0,6600.0,1650.0
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,0,1,2790.6666666666665,2093.0
6083000,4300,6,2,2,1,0,0,0,0,0,0,1,0,0,2150.0,537.5
6083000,9620,3,1,1,1,0,1,0,0,2,1,1,0,0,9620.0,2405.0
6020000,6800,2,1,1,1,1,1,0,0,2,0,1,0,0,6800.0,2266.6666666666665
6020000,8000,3,1,1,1,1,1,0,1,2,1,0,1,0,8000.0,2000.0
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,0,1,6900.0,1380.0
5950000,3700,4,1,2,1,1,0,0,1,0,0,1,0,0,1850.0,740.0
5950000,6420,3,1,1,1,0,1,0,1,0,1,1,0,0,6420.0,1605.0
5950000,7020,3,1,1,1,0,1,0,1,2,1,0,1,0,7020.0,1755.0
5950000,6540,3,1,1,1,1,1,0,0,2,1,1,0,0,6540.0,1635.0
5950000,7231,3,1,2,1,1,1,0,1,0,1,0,1,0,3615.5,1807.75
5950000,6254,4,2,1,1,0,1,0,0,1,1,0,1,0,6254.0,1042.3333333333333
5950000,7320,4,2,2,1,0,0,0,0,0,0,1,0,0,3660.0,1220.0
5950000,6525,3,2,4,1,0,0,0,0,1,0,1,0,0,1631.25,1305.0
5943000,15600,3,1,1,1,0,0,0,1,2,0,0,1,0,15600.0,3900.0
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,0,1,7160.0,1790.0
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,0,1,2166.6666666666665,1300.0
5873000,5500,3,1,3,1,1,0,0,1,1,0,1,0,0,1833.3333333333333,1375.0
5873000,11460,3,1,3,1,0,0,0,0,2,1,0,1,0,3820.0,2865.0
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,0,1,4800.0,1200.0
5810000,5828,4,1,4,1,1,0,0,0,0,0,0,1,0,1457.0,1165.6
5810000,5200,3,1,3,1,0,0,0,1,0,0,0,1,0,1733.3333333333333,1300.0
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,0,1,1600.0,1200.0
5803000,7000,3,1,1,1,0,1,0,0,2,1,0,1,0,7000.0,1750.0
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,0,1,1500.0,1200.0
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,0,1,2700.0,900.0
5740000,4640,4,1,2,1,0,0,0,0,1,0,0,1,0,2320.0,928.0
5740000,5000,3,1,3,1,0,0,0,1,0,0,0,1,0,1666.6666666666667,1250.0
5740000,6360,3,1,1,1,1,1,0,1,2,1,1,0,0,6360.0,1590.0
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,0,1,1450.0,1160.0
5652500,6660,4,2,2,1,1,1,0,0,1,1,0,1,0,3330.0,1110.0
5600000,10500,4,2,2,1,0,0,0,0,1,0,0,1,0,5250.0,1750.0
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,0,1,1600.0,685.7142857142857
5600000,4700,4,1,2,1,1,1,0,1,1,0,1,0,0,2350.0,940.0
5600000,5000,3,1,4,1,0,0,0,0,0,0,1,0,0,1250.0,1250.0
5600000,10500,2,1,1,1,0,0,0,0,1,0,0,1,0,10500.0,3500.0
5600000,5500,3,2,2,1,0,0,0,0,1,0,0,1,0,2750.0,1100.0
5600000,6360,3,1,3,1,0,0,0,0,0,1,0,1,0,2120.0,1590.0
5600000,6600,4,2,1,1,0,1,0,0,0,1,0,1,0,6600.0,1100.0
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,0,1,2568.0,1284.0
5565000,4400,4,1,2,1,0,0,0,1,2,1,0,1,0,2200.0,880.0
5565000,5400,5,1,2,1,1,1,0,1,0,1,1,0,0,2700.0,900.0
5530000,3300,3,3,2,1,0,1,0,0,0,0,0,1,0,1650.0,550.0
5530000,3650,3,2,2,1,0,0,0,0,2,0,0,1,0,1825.0,730.0
5530000,6100,3,2,1,1,0,1,0,0,2,1,1,0,0,6100.0,1220.0
5523000,6900,3,1,1,1,1,1,0,0,0,1,0,1,0,6900.0,1725.0
5495000,2817,4,2,2,0,1,1,0,0,1,0,1,0,0,1408.5,469.5
5495000,7980,3,1,1,1,0,0,0,0,2,0,0,1,0,7980.0,1995.0
5460000,3150,3,2,1,1,1,1,0,1,0,0,1,0,0,3150.0,630.0
5460000,6210,4,1,4,1,1,0,0,1,0,0,1,0,0,1552.5,1242.0
5460000,6100,3,1,3,1,1,0,0,1,0,1,0,1,0,2033.3333333333333,1525.0
5460000,6600,4,2,2,1,1,1,0,0,0,1,0,1,0,3300.0,1100.0
5425000,6825,3,1,1,1,1,1,0,1,0,1,0,1,0,6825.0,1706.25
5390000,6710,3,2,2,1,1,1,0,0,1,1,1,0,0,3355.0,1342.0
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,0,1,6450.0,1290.0
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,0,1,7800.0,1950.0
5285000,4600,2,2,1,1,0,0,0,1,2,0,0,1,0,4600.0,1150.0
5250000,4260,4,1,2,1,0,1,0,1,0,0,1,0,0,2130.0,852.0
5250000,6540,4,2,2,0,0,0,0,1,0,0,0,1,0,3270.0,1090.0
5250000,5500,3,2,1,1,0,1,0,0,0,0,0,1,0,5500.0,1100.0
5250000,10269,3,1,1,1,0,0,0,0,1,1,0,1,0,10269.0,2567.25
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,0,1,4200.0,2100.0
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,0,1,5300.0,883.3333333333334
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,0,1,1900.0,950.0
5250000,9800,4,2,2,1,1,0,0,0,2,0,0,1,0,4900.0,1633.3333333333333
5250000,8520,3,1,1,1,0,0,0,1,2,0,1,0,0,8520.0,2130.0
5243000,6050,3,1,1,1,0,1,0,0,0,1,0,1,0,6050.0,1512.5
5229000,7085,3,1,1,1,1,1,0,0,2,1,0,1,0,7085.0,1771.25
5215000,3180,3,2,2,1,0,0,0,0,2,0,0,1,0,1590.0,636.0
5215000,4500,4,2,1,0,0,1,0,1,2,0,0,1,0,4500.0,750.0
5215000,7200,3,1,2,1,1,1,0,0,1,1,1,0,0,3600.0,1800.0
5145000,3410,3,1,2,0,0,0,0,1,0,0,0,1,0,1705.0,852.5
5145000,7980,3,1,1,1,0,0,0,0,1,1,0,1,0,7980.0,1995.0
5110000,3000,3,2,2,1,1,1,0,0,0,0,1,0,0,1500.0,600.0
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,0,1,1500.0,750.0
5110000,11410,2,1,2,1,0,0,0,0,0,1,1,0,0,5705.0,3803.3333333333335
5110000,6100,3,1,1,1,0,1,0,1,0,1,0,1,0,6100.0,1525.0
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,0,1,2860.0,1906.6666666666667
5040000,3540,2,1,1,0,1,1,0,0,0,0,0,1,0,3540.0,1180.0
5040000,7600,4,1,2,1,0,0,0,1,2,0,1,0,0,3800.0,1520.0
5040000,10700,3,1,2,1,1,1,0,0,0,0,0,1,0,5350.0,2675.0
5040000,6600,3,1,1,1,1,1,0,0,0,1,1,0,0,6600.0,1650.0
5033000,4800,2,1,1,1,1,1,0,0,0,0,0,1,0,4800.0,1600.0
5005000,8150,3,2,1,1,1,1,0,0,0,0,0,1,0,8150.0,1630.0
4970000,4410,4,3,2,1,0,1,0,0,2,0,0,1,0,2205.0,630.0
4970000,7686,3,1,1,1,1,1,1,0,0,0,0,1,0,7686.0,1921.5
4956000,2800,3,2,2,0,0,1,0,1,1,0,0,1,0,1400.0,560.0
4935000,5948,3,1,2,1,0,0,0,1,0,0,0,1,0,2974.0,1487.0
4907000,4200,3,1,2,1,0,0,0,0,1,0,1,0,0,2100.0,1050.0
4900000,4520,3,1,2,1,0,1,0,1,0,0,0,1,0,2260.0,1130.0
4900000,4095,3,1,2,0,1,1,0,1,0,0,0,1,0,2047.5,1023.75
4900000,4120,2,1,1,1,0,1,0,0,1,0,0,1,0,4120.0,1373.3333333333333
4900000,5400,4,1,2,1,0,0,0,0,0,0,0,1,0,2700.0,1080.0
4900000,4770,3,1,1,1,1,1,0,0,0,0,0,1,0,4770.0,1192.5
4900000,6300,3,1,1,1,0,0,0,1,2,0,0,1,0,6300.0,1575.0
4900000,5800,2,1,1,1,1,1,0,1,0,0,0,1,0,5800.0,1933.3333333333333
4900000,3000,3,1,2,1,0,1,0,1,0,0,0,1,0,1500.0,750.0
4900000,2970,3,1,3,1,0,0,0,0,0,0,0,1,0,990.0,742.5
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,0,1,6720.0,1680.0
4900000,4646,3,1,2,1,1,1,0,0,2,0,0,1,0,2323.0,1161.5
4900000,12900,3,1,1,1,0,0,0,0,2,0,1,0,0,12900.0,3225.0
4893000,3420,4,2,2,1,0,1,0,1,2,0,0,1,0,1710.0,570.0
4893000,4995,4,2,1,1,0,1,0,0,0,0,0,1,0,4995.0,832.5
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,0,1,4350.0,1450.0
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,0,1,1386.6666666666667,1040.0
4830000,6040,3,1,1,1,0,0,0,0,2,1,0,1,0,6040.0,1510.0
4830000,6862,3,1,2,1,0,0,0,1,2,1,1,0,0,3431.0,1715.5
4830000,4815,2,1,1,1,0,0,0,1,0,1,0,1,0,4815.0,1605.0
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,0,1,3500.0,1750.0
4795000,8100,4,1,4,1,0,1,0,1,2,0,0,1,0,2025.0,1620.0
4767000,3420,4,2,2,1,0,0,0,0,0,0,0,1,0,1710.0,570.0
4760000,9166,2,1,1,1,0,1,0,1,2,0,0,1,0,9166.0,3055.3333333333335
4760000,6321,3,1,2,1,0,1,0,1,1,0,1,0,0,3160.5,1580.25
4760000,10240,2,1,1,1,0,0,0,1,2,1,0,0,1,10240.0,3413.3333333333335
4753000,6440,2,1,1,1,0,0,0,1,3,0,0,1,0,6440.0,2146.6666666666665
4690000,5170,3,1,4,1,0,0,0,1,0,0,0,1,0,1292.5,1292.5
4690000,6000,2,1,1,1,0,1,0,1,1,0,1,0,0,6000.0,2000.0
4690000,3630,3,1,2,1,0,0,0,0,2,0,0,1,0,1815.0,907.5
4690000,9667,4,2,2,1,1,1,0,0,1,0,0,1,0,4833.5,1611.1666666666667
4690000,5400,2,1,2,1,0,0,0,0,0,1,0,1,0,2700.0,1800.0
4690000,4320,3,1,1,1,0,0,0,0,0,1,0,1,0,4320.0,1080.0
4655000,3745,3,1,2,1,0,1,0,0,0,0,1,0,0,1872.5,936.25
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,0,1,4160.0,1040.0
4620000,3880,3,2,2,1,0,1,0,0,2,0,0,1,0,1940.0,776.0
4620000,5680,3,1,2,1,1,0,0,1,1,0,0,1,0,2840.0,1420.0
4620000,2870,2,1,2,1,1,1,0,0,0,1,0,1,0,1435.0,956.6666666666666
4620000,5010,3,1,2,1,0,1,0,0,0,0,0,1,0,2505.0,1252.5
4613000,4510,4,2,2,1,0,1,0,0,0,0,0,1,0,2255.0,751.6666666666666
4585000,4000,3,1,2,1,0,0,0,0,1,0,1,0,0,2000.0,1000.0
4585000,3840,3,1,2,1,0,0,0,0,1,1,0,1,0,1920.0,960.0
4550000,3760,3,1,1,1,0,0,0,0,2,0,0,1,0,3760.0,940.0
4550000,3640,3,1,2,1,0,0,0,1,0,0,1,0,0,1820.0,910.0
4550000,2550,3,1,2,1,0,1,0,0,0,0,1,0,0,1275.0,637.5
4550000,5320,3,1,2,1,1,1,0,0,0,1,0,1,0,2660.0,1330.0
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,0,1,2680.0,1340.0
4550000,3520,3,1,1,1,0,0,0,0,0,1,0,1,0,3520.0,880.0
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,0,1,2100.0,1680.0
4543000,4100,2,2,1,1,1,1,0,0,0,0,0,1,0,4100.0,1025.0
4543000,4990,4,2,2,1,1,1,0,0,0,1,1,0,0,2495.0,831.6666666666666
4515000,3510,3,1,3,1,0,0,0,0,0,0,0,1,0,1170.0,877.5
4515000,3450,3,1,2,1,0,1,0,0,1,0,0,1,0,1725.0,862.5
4515000,9860,3,1,1,1,0,0,0,0,0,0,0,1,0,9860.0,2465.0
4515000,3520,2,1,2,1,0,0,0,0,0,1,1,0,0,1760.0,1173.3333333333333
4480000,4510,4,1,2,1,0,0,0,1,2,0,0,1,0,2255.0,902.0
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,0,1,5885.0,1961.6666666666667
4480000,4000,3,1,2,1,0,0,0,0,2,0,1,0,0,2000.0,1000.0
4480000,8250,3,1,1,1,0,0,0,0,0,0,1,0,0,8250.0,2062.5
4480000,4040,3,1,2,1,0,0,0,0,1,0,0,1,0,2020.0,1010.0
4473000,6360,2,1,1,1,0,1,0,1,1,0,1,0,0,6360.0,2120.0
4473000,3162,3,1,2,1,0,0,0,1,1,0,1,0,0,1581.0,790.5
4473000,3510,3,1,2,1,0,0,0,0,0,0,0,1,0,1755.0,877.5
4445000,3750,2,1,1,1,1,1,0,0,0,0,0,1,0,3750.0,1250.0
4410000,3968,3,1,2,0,0,0,0,0,0,0,0,1,0,1984.0,992.0
4410000,4900,2,1,2,1,0,1,0,0,0,0,0,1,0,2450.0,1633.3333333333333
